id	name
001	A1 Sports Club
002	A1SC- Women
003	Aargau Avengers
004	Aargau Crazy Cricketers
005	Basel Afghan CC
006	Basel CC
007	Basel CC Colts
008	Basel Dragons A U19
009	Basel Dragons B U19
010	Basel Dragons JCC
011	Basel Dragons JCC 2
012	Basel Juniors
013	Basel Supernovas
014	Berne CC
015	CH U19 NATI
016	CS Girls A1 Stars
017	CVZ
018	CVZ-Women
019	Cern CC
020	Cossonay CC
021	Cossonay CC-2
022	Cossonay CC-Women
023	Cossonay Juniors U19
024	Cricket Club Wettingen-1
025	Cricket Club Wettingen-2
026	Embrach Thunder
027	GENEVA CC
028	Geneva CC
029	Geneva CC-2
030	Geneva Eagles Cricket Club
031	Geneva International CC
032	Geneva International CC-2
033	Geneva Sri Lanka CC
034	Geneva XI Stars
035	Geneva XI Stars - U19
036	Geneva XI Stars U17
037	Luzern Cricket Club
038	Nomads Falcons
039	Nomads-Embrach Cricket Academy
040	Novartis CC
041	Olten CC
042	Olten Gosgen CC
043	Pakhtoon Zalmi CC
044	Power Winterthur CC
045	Solothurn CC
046	Sports Club Roche Cricket
047	St. Gallen
048	Swiss Afghan CC
049	Swiss Afghan U19
050	Winterthur CC
051	ZURICH NOMADS
052	Zug Cricket Club
053	Zurich Crickets CC-1
054	Zurich Crickets CC-2
055	Zurich Crickets U17
056	Zurich Crickets U19
057	Zurich Lions CC
058	Zurich Mavericks Adliswil CC
059	Zurich SuperLions
