tournament	abbreviation
CRICKET SWITZERLAND NATIONAL LEAGUE ( CSNL)-2026	CSNL
CRICKET SWITZERLAND PREMIER LEAGUE ( CSPL)-2026	CSPL
CRICKET SWITZERLAND REGIONAL LEAGUE ( CSRL)-2026	CSRL
CRICKET SWITZERLAND T20 U19 (League Matches)	U19 T20
CRICKET SWITZERLAND WOMEN T10 LEAGUE 2026 (CSWL T10)	CSWL T10
CRICKET SWITZERLAND WOMEN T20 LEAGUE (CSWL T20)	CSWL T20
CRICKET SWITZERLAND YOUTH LEAGUE (CSYL 2026)	CSYL
CRICKET SWITZERLAND YOUTH LEAGUE (CSYL U17 20 overs)	U17 T20
CRICKET SWITZERLAND YOUTH LEAGUE (CSYL U17 50 overs)	CSYL U17
CRICKETER PRO T20 COMPETITION (DIVISION 2)-2026	CricketerPro
PICKWICK CUP T20 COMPETITIONS (ELITE DIVISION)-2026	Pickwick
